Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
cortex	AHL12	DOF5.7_2	10	786	442	0.845609	0.845609	1	1	AT1G21070;AT1G44830;AT2G44670;AT3G24190;AT3G28740;AT3G44860;AT5G02270;AT5G03150;AT5G55850;AT5G65380;
cortex	AHL12	DREB2C	15	626	442	0.10265	0.375104	1	1	AT1G05680;AT1G26970;AT1G27670;AT1G78100;AT2G20680;AT2G36830;AT2G43340;AT2G46930;AT3G61420;AT4G35250;AT5G02270;AT5G20280;AT5G24410;AT5G55850;AT5G65430;
cortex	AHL12	DREB2C_2	16	652	442	0.0805338	0.322135	1	1	AT1G01360;AT1G05680;AT1G12500;AT1G57560;AT2G04780;AT2G20120;AT2G20880;AT2G36830;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G61420;AT4G12430;AT5G02270;AT5G65430;
cortex	AHL12	ERF1	16	611	442	0.051245	0.256225	1	1	AT1G05680;AT1G30380;AT2G20120;AT2G20880;AT2G30990;AT2G36830;AT2G43340;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G61420;AT4G32480;AT5G02270;AT5G55850;AT5G65430;
cortex	AHL12	ETT	19	736	442	0.0405328	0.22311	1	1	AT1G07650;AT1G15820;AT1G21070;AT1G32400;AT1G52760;AT1G78100;AT2G15960;AT2G20120;AT2G38300;AT2G46930;AT3G05890;AT3G24190;AT3G61420;AT4G01110;AT4G35250;AT5G03150;AT5G15900;AT5G36180;AT5G65430;
cortex	AHL12	ETT_2	15	706	442	0.201518	0.494296	1	1	AT1G05680;AT1G14330;AT1G19450;AT2G44670;AT3G07460;AT3G09780;AT3G18830;AT3G24120;AT3G24190;AT3G28740;AT3G61420;AT4G19860;AT5G02270;AT5G65380;AT5G66580;
cortex	AHL12	GATA12	20	670	442	0.00914609	0.0905115	1	1	AT1G12500;AT1G14460;AT1G15640;AT1G15820;AT1G21070;AT1G62790;AT1G65840;AT2G04780;AT2G16580;AT2G17680;AT2G20680;AT2G25770;AT3G05150;AT3G07460;AT3G24120;AT4G32480;AT5G03150;AT5G65430;AT5G66580;AT5G67390;
cortex	AHL12	GLK1	11	673	442	0.566808	0.566808	1	1	AT1G13210;AT1G15640;AT1G15820;AT1G78100;AT2G16580;AT2G16980;AT2G34070;AT3G05890;AT3G57800;AT4G20150;AT4G35320;
cortex	AHL12	GLK1_2	13	719	442	0.420045	0.533603	1	1	AT1G08630;AT1G14330;AT1G15820;AT1G26970;AT1G32400;AT1G44830;AT1G62975;AT2G20680;AT2G44670;AT3G28740;AT4G20150;AT5G66580;AT5G67390;
cortex	AHL12	HSFB2A	11	648	442	0.516118	0.533603	1	1	AT1G15625;AT1G26970;AT1G62975;AT2G15960;AT2G20880;AT2G44670;AT2G46930;AT3G05890;AT5G19240;AT5G28010;AT5G65090;
cortex	AHL12	HSFB2A_2	13	771	442	0.520395	0.533603	1	1	AT1G01360;AT1G12500;AT2G36830;AT2G38300;AT3G05890;AT3G24120;AT4G00430;AT4G01110;AT4G19860;AT4G20150;AT5G28010;AT5G44020;AT5G63595;
cortex	AHL12	HSFC1	15	831	442	0.411089	0.533603	1	1	AT1G01360;AT1G12500;AT1G15625;AT1G44170;AT2G36830;AT3G05890;AT3G24120;AT4G00430;AT4G01110;AT4G20150;AT5G02230;AT5G28010;AT5G36180;AT5G44020;AT5G63595;
cortex	AHL12	HSFC1_2	7	625	442	0.897952	0.897952	1	1	AT1G26970;AT1G52760;AT2G44670;AT3G05890;AT3G61420;AT5G19240;AT5G47140;
cortex	AHL12	ICU4	10	426	442	0.175428	0.494296	1	1	AT1G05680;AT1G14580;AT1G52760;AT2G15960;AT2G17680;AT3G18830;AT3G61420;AT4G12520;AT5G40730;AT5G65090;
cortex	AHL12	KAN1	13	746	442	0.472491	0.533603	1	1	AT1G69150;AT2G16980;AT2G26690;AT2G34070;AT2G36830;AT3G44860;AT3G55720;AT4G00430;AT4G20150;AT5G23220;AT5G36180;AT5G66580;AT5G67390;
cortex	AHL12	KAN4	18	769	442	0.0938027	0.375104	1	1	AT1G13210;AT1G15625;AT1G47480;AT1G69930;AT2G16980;AT2G20880;AT2G25770;AT2G27820;AT2G36830;AT2G44670;AT2G46930;AT4G00430;AT4G12520;AT4G35320;AT5G02230;AT5G15900;AT5G19240;AT5G20280;
cortex	AHL12	KAN4_2	17	694	442	0.0742714	0.297085	1	1	AT1G08630;AT1G12500;AT1G13195;AT1G14330;AT1G44170;AT1G78100;AT2G16580;AT2G20880;AT2G25770;AT2G26690;AT2G27820;AT2G34070;AT4G30170;AT5G23220;AT5G36180;AT5G47140;AT5G67390;
cortex	AHL12	LBD16	9	716	442	0.845195	0.845195	1	1	AT1G21070;AT1G27670;AT2G04780;AT2G38300;AT3G05150;AT3G05890;AT3G24120;AT4G32480;AT4G35250;
cortex	AHL12	MYB111	23	798	442	0.00810188	0.0810188	1	1	AT1G10200;AT1G12500;AT1G15625;AT1G27670;AT1G44170;AT1G47480;AT1G52760;AT1G69150;AT2G22470;AT2G27820;AT3G05890;AT3G09780;AT3G24190;AT3G45080;AT4G00430;AT4G19860;AT5G02270;AT5G15900;AT5G24410;AT5G63595;AT5G65380;AT5G66580;AT5G67390;
cortex	AHL12	MYB111_2	22	720	442	0.00494976	0.0593971	1	1	AT1G10200;AT1G12500;AT1G44170;AT1G47480;AT1G52760;AT1G69150;AT1G69930;AT2G04780;AT2G17680;AT2G27820;AT3G05890;AT3G09780;AT3G45080;AT3G55720;AT4G00430;AT4G01110;AT4G19860;AT5G02270;AT5G15900;AT5G63595;AT5G66580;AT5G67390;
cortex	AHL12	MYB46	22	780	442	0.011953	0.107577	1	1	AT1G10200;AT1G12500;AT1G13195;AT1G44170;AT1G47480;AT1G52760;AT1G69150;AT1G69930;AT2G17680;AT2G22470;AT2G27820;AT3G05890;AT3G09780;AT3G24190;AT3G55720;AT4G00430;AT4G19860;AT5G02270;AT5G19240;AT5G65380;AT5G66580;AT5G67390;
cortex	AHL12	MYB46_2	15	680	442	0.165449	0.494296	1	1	AT1G01110;AT1G15820;AT1G52760;AT1G57560;AT1G78100;AT2G27820;AT2G36830;AT3G05890;AT3G09780;AT3G55720;AT3G61420;AT4G35250;AT5G20280;AT5G24410;AT5G67390;
cortex	AHL12	MYB52	12	649	442	0.396483	0.533603	1	1	AT1G14460;AT1G21070;AT1G65840;AT1G69930;AT1G78100;AT2G20880;AT3G24190;AT3G44860;AT4G12420;AT5G02270;AT5G55850;AT5G65430;
cortex	AHL12	MYB52_2	16	773	442	0.220225	0.494296	1	1	AT1G12500;AT1G13195;AT1G69150;AT2G04780;AT2G20680;AT2G26690;AT2G30990;AT3G05890;AT3G09780;AT3G45080;AT4G12420;AT4G39030;AT5G02270;AT5G14340;AT5G65430;AT5G67390;
cortex	AHL12	MYB55	20	703	442	0.0147854	0.118283	1	1	AT1G01360;AT1G10200;AT1G30380;AT1G47480;AT1G52760;AT1G69150;AT2G22470;AT2G27820;AT2G43340;AT3G05150;AT3G05890;AT3G24190;AT3G55720;AT3G57800;AT3G61420;AT4G00430;AT4G12430;AT5G36180;AT5G65380;AT5G66580;
cortex	AHL12	MYB55_2	18	699	442	0.0462207	0.231103	1	1	AT1G01110;AT1G15820;AT1G27670;AT1G44170;AT1G47480;AT1G52760;AT1G57560;AT2G20680;AT2G26690;AT2G27820;AT3G05890;AT3G09780;AT3G55720;AT3G61420;AT5G24410;AT5G63595;AT5G66580;AT5G67390;
cortex	AHL12	MYB59	20	844	442	0.0734109	0.293643	1	1	AT1G01360;AT1G10200;AT1G12500;AT1G13195;AT1G30380;AT1G47480;AT1G52760;AT1G69150;AT1G76490;AT2G02780;AT2G22470;AT2G27820;AT3G09780;AT3G24190;AT3G28740;AT4G00430;AT5G03150;AT5G24410;AT5G65380;AT5G66580;
cortex	AHL12	MYC2	38	755	442	1.74185e-09	7.33319e-07	7.69897e-07	3.30673e-05	AT1G01110;AT1G05680;AT1G13195;AT1G14330;AT1G14460;AT1G15640;AT1G15820;AT1G26970;AT1G44170;AT1G44830;AT1G62790;AT1G69150;AT1G69930;AT2G15960;AT2G16980;AT2G17680;AT2G20680;AT2G22470;AT2G34070;AT2G44670;AT2G46930;AT3G05890;AT3G07460;AT3G09780;AT3G18830;AT3G25760;AT3G28740;AT3G61420;AT4G12430;AT4G24275;AT4G32480;AT5G03150;AT5G15900;AT5G24410;AT5G63595;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	MYC3	36	769	442	3.03422e-08	6.83407e-06	1.34113e-05	0.000576017	AT1G01110;AT1G05680;AT1G08630;AT1G14330;AT1G14460;AT1G15640;AT1G15820;AT1G26970;AT1G44170;AT1G62790;AT1G69150;AT2G15960;AT2G16980;AT2G17680;AT2G20680;AT2G22470;AT2G43340;AT2G46930;AT3G05890;AT3G07460;AT3G18830;AT3G24190;AT3G25760;AT3G61420;AT4G12430;AT4G24275;AT4G30170;AT4G32480;AT5G02270;AT5G03150;AT5G15900;AT5G24410;AT5G63595;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	MYC4	32	740	442	1.03171e-06	0.000106266	0.000456015	0.0195859	AT1G01110;AT1G05680;AT1G13195;AT1G14330;AT1G14460;AT1G15640;AT1G26970;AT1G44170;AT1G62790;AT1G69150;AT2G02780;AT2G15960;AT2G16980;AT2G17680;AT2G20680;AT2G22470;AT2G44670;AT2G46930;AT3G05890;AT3G07460;AT3G18830;AT3G25760;AT3G61420;AT4G12430;AT4G32480;AT5G02270;AT5G03150;AT5G15900;AT5G24410;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	ORA47	24	692	442	0.000642458	0.0141341	0.283966	1	AT1G05680;AT1G15640;AT1G52760;AT1G57560;AT1G62975;AT1G78100;AT2G15960;AT2G20120;AT2G20880;AT2G27820;AT2G36830;AT2G43340;AT2G46930;AT3G05150;AT3G05890;AT3G25760;AT3G28740;AT3G61420;AT4G12420;AT4G12430;AT5G15900;AT5G23220;AT5G28010;AT5G66580;
cortex	AHL12	ORA47_2	20	626	442	0.00446337	0.0542318	1	1	AT1G01360;AT1G05680;AT1G12500;AT1G27670;AT1G78100;AT2G20120;AT2G20880;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G61420;AT4G32480;AT5G02270;AT5G40730;AT5G65430;
cortex	AHL12	PIF3	28	669	442	9.04233e-06	0.000642006	0.00399671	0.17166	AT1G01110;AT1G05680;AT1G08630;AT1G14330;AT1G15820;AT1G21070;AT1G62790;AT1G69150;AT2G15960;AT2G16580;AT2G16980;AT2G17680;AT2G22470;AT3G05890;AT3G07460;AT3G24190;AT3G61420;AT4G02170;AT4G12430;AT4G19860;AT4G32480;AT5G02270;AT5G15900;AT5G40730;AT5G65090;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	PIF4	30	691	442	2.08559e-06	0.000198132	0.000921833	0.0395929	AT1G01110;AT1G05680;AT1G14330;AT1G14460;AT1G14580;AT1G15640;AT1G26970;AT1G44170;AT1G44830;AT1G69150;AT1G69930;AT2G02780;AT2G15960;AT2G16980;AT2G17680;AT2G22470;AT2G46930;AT3G05890;AT3G07460;AT3G25760;AT3G61420;AT4G12430;AT4G24275;AT4G32480;AT5G02270;AT5G03150;AT5G24410;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	PIF5	23	654	442	0.000686838	0.0144236	0.303583	1	AT1G01110;AT1G05680;AT1G14330;AT1G14460;AT1G27670;AT1G30380;AT1G44170;AT1G69150;AT2G15960;AT2G16980;AT2G17680;AT2G22470;AT2G46930;AT3G05890;AT3G07460;AT3G24190;AT3G61420;AT4G12430;AT4G32480;AT5G02270;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	RAP2.3	17	585	442	0.0195678	0.141566	1	1	AT1G05680;AT1G26970;AT1G27670;AT1G78100;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G24190;AT3G25760;AT3G55720;AT3G57800;AT3G61420;AT4G32480;AT5G02270;AT5G40730;AT5G65430;
cortex	AHL12	RAP2.3_2	16	599	442	0.0443182	0.22311	1	1	AT1G05680;AT1G27670;AT1G78100;AT2G20120;AT2G20880;AT2G36830;AT2G43340;AT2G46930;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G57800;AT3G61420;AT5G02270;AT5G55850;
cortex	AHL12	RAP2.3_3ARY	13	602	442	0.206458	0.494296	1	1	AT1G05680;AT1G78100;AT2G20120;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G61420;AT5G02270;AT5G55850;
cortex	AHL12	RAP2.6	19	606	442	0.00667911	0.0734702	1	1	AT1G05680;AT1G12500;AT1G26970;AT1G27670;AT1G78100;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G09780;AT3G24190;AT3G25760;AT3G55720;AT3G61420;AT4G32480;AT5G02270;AT5G40730;AT5G55850;AT5G65430;
cortex	AHL12	RAP2.6_2	19	630	442	0.00985699	0.0905115	1	1	AT1G05680;AT1G15640;AT1G21070;AT1G27670;AT1G30380;AT1G76490;AT1G78100;AT2G22470;AT2G36830;AT2G43340;AT2G46930;AT3G07460;AT3G09780;AT3G57800;AT3G61420;AT4G12420;AT4G32480;AT5G02270;AT5G20280;
cortex	AHL12	RAP2.6_3ARY	21	628	442	0.00213045	0.0340872	0.941658	1	AT1G05680;AT1G15640;AT1G30380;AT1G52760;AT1G62790;AT1G69930;AT1G78100;AT2G20120;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G55720;AT3G61420;AT4G12420;AT5G02270;AT5G65430;
cortex	AHL12	REM1	18	784	442	0.107036	0.375104	1	1	AT1G01110;AT1G15625;AT1G15820;AT1G47480;AT2G04780;AT2G17680;AT2G22470;AT2G34070;AT2G43340;AT3G24190;AT3G57800;AT4G02170;AT4G24275;AT4G30170;AT5G02270;AT5G28010;AT5G47140;AT5G63595;
cortex	AHL12	REM1_2	14	728	442	0.328609	0.533603	1	1	AT1G14330;AT1G15820;AT1G30380;AT1G62790;AT1G78100;AT2G20680;AT3G05890;AT3G07460;AT3G25760;AT3G61420;AT5G02270;AT5G28010;AT5G40730;AT5G66580;
cortex	AHL12	RRTF1	16	604	442	0.0471181	0.23559	1	1	AT1G05680;AT1G12500;AT1G26970;AT1G27670;AT1G78100;AT2G36830;AT2G43340;AT3G05890;AT3G24190;AT3G25760;AT3G55720;AT3G61420;AT4G32480;AT5G02270;AT5G40730;AT5G65430;
cortex	AHL12	RRTF1_2	15	617	442	0.0938697	0.375104	1	1	AT1G05680;AT1G27670;AT1G78100;AT2G20120;AT2G36830;AT2G43340;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G57800;AT3G61420;AT4G32480;AT5G02270;AT5G55850;
cortex	AHL12	RRTF1_3ARY	14	600	442	0.130139	0.390418	1	1	AT1G05680;AT1G78100;AT2G20120;AT2G36830;AT2G43340;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G61420;AT5G02270;AT5G55850;AT5G65430;
cortex	AHL12	RVE1	19	861	442	0.130922	0.392767	1	1	AT1G10200;AT1G13210;AT1G15640;AT1G32400;AT1G44170;AT1G65840;AT1G76490;AT2G04780;AT2G15960;AT3G07460;AT3G57800;AT4G00430;AT4G12430;AT4G24275;AT5G20280;AT5G23220;AT5G40730;AT5G66580;AT5G67390;
cortex	AHL12	RVE1_2	23	986	442	0.0665154	0.28603	1	1	AT1G10200;AT1G12500;AT1G15820;AT1G26970;AT1G44170;AT1G62660;AT1G62975;AT1G76490;AT2G15960;AT2G16980;AT2G36830;AT3G25760;AT3G28740;AT3G44860;AT4G00430;AT4G10390;AT4G20150;AT4G24275;AT4G30170;AT5G28010;AT5G44020;AT5G66580;AT5G67390;
cortex	AHL12	SPL1	16	733	442	0.165557	0.494296	1	1	AT1G01110;AT1G05680;AT1G08630;AT1G14330;AT1G21070;AT1G27670;AT1G52760;AT1G78100;AT2G43340;AT2G46930;AT3G57800;AT4G00430;AT4G12520;AT4G19860;AT4G35320;AT5G65090;
cortex	AHL12	SPL1_2	19	728	442	0.0369893	0.221936	1	1	AT1G01360;AT1G05680;AT1G08630;AT1G12500;AT1G14330;AT1G27670;AT1G52760;AT1G78100;AT2G20880;AT2G34070;AT2G36830;AT2G43340;AT3G05150;AT3G57800;AT3G61420;AT4G12520;AT4G19860;AT5G65090;AT5G65380;
cortex	AHL12	SPL7	18	705	442	0.0494278	0.247139	1	1	AT1G05680;AT1G08630;AT1G12500;AT1G14330;AT1G27670;AT1G52760;AT1G78100;AT2G36830;AT2G43340;AT2G44670;AT3G07460;AT3G18830;AT3G57800;AT3G61420;AT4G12520;AT4G19860;AT5G20280;AT5G23220;
cortex	AHL12	STY1	6	596	442	0.933559	0.933559	1	1	AT1G01110;AT1G08630;AT1G13210;AT3G61420;AT4G39030;AT5G23220;
cortex	AHL12	STY1_2	18	655	442	0.0271143	0.175416	1	1	AT1G07650;AT1G13210;AT1G57560;AT2G20680;AT2G25770;AT2G27820;AT3G05150;AT3G05890;AT3G24120;AT3G45080;AT3G61420;AT4G10390;AT4G32480;AT5G02230;AT5G15900;AT5G20280;AT5G55850;AT5G65430;
cortex	AHL12	TCP15	16	625	442	0.060245	0.28603	1	1	AT1G01110;AT1G14580;AT1G30380;AT2G20680;AT2G36830;AT2G43340;AT2G46930;AT3G05150;AT3G07460;AT3G24190;AT3G57800;AT3G61420;AT4G32480;AT4G35250;AT4G35320;AT5G40730;
